
Nombre,Ciudad,Dirección,Teléfono,Correo,Especialidades
Asomi Centro Médico,Guayaquil,Avenida Pedro Menéndez Gilbert Callejón 12 Ne,0968746341 / +593 (04) 5060919,balcondeservicios@asomi.com.ec; info@asomi.com.ec,"[""Salud ocupacional"", ""Asesoría integral""]"
Médikal Garzota,Guayaquil (Garzota),"Av. Guillermo Pareja Rolando, C.C. Garzocentro 2000 Local 1001-A",04-3703170 / 0958749833,medikal@gmail.com,"[""Medicina general"", ""Especialidades múltiples""]"
Médikal Portete,Guayaquil (Portete),Calle 14ava #3901 y Portete (Frente a Orve Hogar),"04-3703170 ext. 300, 306 / 0992979509 / 0998741426",medikal@gmail.com,"[""Medicina general"", ""Especialidades múltiples""]"
Médikal Sur,Guayaquil (Sur),"Cdla. 9 de Octubre, calle 11 entre Av. Domingo Comín y Av. 25 de Julio",04-3703170 ext. 255-257 / 0958737286 / 0992977362,medikal@gmail.com,"[""Medicina general"", ""Especialidades múltiples""]"
Plus Centro Médico,Guayaquil,"Av. del Rotarismo #434 e/ Segunda Peatonal y Calle Sexta, Urdesa Central",04 60 20 606 / 04 60 20 629 / 095 960 6470,admin@centromedicoplus.com; citas@centromedicoplus.com,"[""Consultas médicas"", ""Laboratorio"", ""Imagenología"", ""Otros servicios""]"
Wecare Plaza Tía El Maestro,"Guayaquil, Guayas","C.C. Plaza Tía El Maestro, Local 20, Autop. Narcisa de Jesús",04-2157621 / 099-869-9818,contacto@centromedicowecare.com,"[""Medicina general"", ""Especialidades múltiples""]"
Axxis Hospital de Especialidades,Quito,Av. 10 de Agosto N39-155 y Diguja,(02) 3980 100,info@axxishospital.com.ec,"[""Hospital"", ""Especialidades múltiples""]"
CEMI Centro Médico Infectológico,Quito,"CITIMED 4to Piso Cons. 440, Av. Mariana de Jesús OE7 A y Nuño de Valderrama",351 5872 / 099 834 4583,cristinamorenoizq@gmail.com,"[""Infectología"", ""Medicina interna""]"
Centro Médico Biotest (Quito),Quito,Inglaterra N31-173 y Mariana de Jesús,(02) 222-0737 / 099 6353 007,info@biotest.ec,"[""Salud ocupacional"", ""Laboratorio""]"
Centro Médico Integral Kenzo,Quito,Isla Seymour 41-125 e Isla Floreana,(+593) 99 741 3471 / (02) 2 248 576,centromedicokenzo@gmail.com,"[""Medicina general"", ""Psicología"", ""Fisioterapia"", ""Nutrición"", ""Laboratorio""]"
Centro Médico Vida - Carapungo,Quito (Carapungo),"Av. Padre Luis Vaccari y Río Bermejo, CC Vaccari Plaza, piso 3",(+593) 23477 967 / 099 514 4845,info@cmvidacarapungo.com.ec,"[""Medicina general"", ""Especialidades múltiples""]"
